race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2019,British Grand Prix,2019-07-14T13:10:00.000-07:00,Silverstone,Valtteri Bottas,77,Finnish,Mercedes,1,47,+24.928,18.0,2,2024-07-12T11:40:19.668-07:00
2019,German Grand Prix,2019-07-28T13:10:00.000-07:00,Hockenheim,Sebastian Vettel,5,German,Ferrari,20,63,+7.333,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Belgian Grand Prix,2019-09-01T13:10:00.000-07:00,Spa,Lewis Hamilton,44,British,Mercedes,3,24,+0.981,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Valtteri Bottas,77,Finnish,Mercedes,3,47,+0.835,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Singapore Grand Prix,2019-09-22T12:10:00.000-07:00,Marina Bay,Charles Leclerc,16,Monegasque,Ferrari,1,59,+2.641,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Russian Grand Prix,2019-09-29T11:10:00.000-07:00,Sochi,Valtteri Bottas,77,Finnish,Mercedes,4,50,+3.829,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Sebastian Vettel,5,German,Ferrari,1,38,+13.343,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Mexican Grand Prix,2019-10-27T19:10:00.000-07:00,Mexico City,Sebastian Vettel,5,German,Ferrari,2,68,+1.766,18.0,2,2024-07-12T11:40:19.668-07:00
2019,United States Grand Prix,2019-11-03T19:10:00.000-08:00,Austin,Lewis Hamilton,44,British,Mercedes,5,26,+4.148,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Brazilian Grand Prix,2019-11-17T17:10:00.000-08:00,São Paulo,Pierre Gasly,10,French,Toro Rosso,6,65,+6.077,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Abu Dhabi Grand Prix,2019-12-01T13:10:00.000-08:00,Abu Dhabi,Max Verstappen,33,Dutch,Red Bull,2,55,+16.772,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Charles Leclerc,16,Monegasque,Ferrari,7,64,+2.700,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Styrian Grand Prix,2020-07-12T13:10:00.000-07:00,Spielburg,Valtteri Bottas,77,Finnish,Mercedes,4,62,+13.719,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Hungarian Grand Prix,2020-07-19T13:10:00.000-07:00,Budapest,Max Verstappen,33,Dutch,Red Bull,7,60,+8.702,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Max Verstappen,33,Dutch,Red Bull,3,53,+24.177,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Belgian Grand Prix,2020-08-30T13:10:00.000-07:00,Spa,Valtteri Bottas,77,Finnish,Mercedes,2,27,+8.448,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Italian Grand Prix,2020-09-06T13:10:00.000-07:00,Monza,Carlos Sainz,55,Spanish,McLaren,3,40,+0.415,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Tuscan Grand Prix,2020-09-13T13:10:00.000-07:00,Mugello,Valtteri Bottas,77,Finnish,Mercedes,2,53,+4.880,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Russian Grand Prix,2020-09-27T11:10:00.000-07:00,Sochi,Max Verstappen,33,Dutch,Red Bull,2,53,+7.729,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Portuguese Grand Prix,2020-10-25T12:10:00.000-07:00,Portimão,Valtteri Bottas,77,Finnish,Mercedes,2,66,+25.592,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Emilia Romagna Grand Prix,2020-11-01T12:10:00.000-08:00,Imola,Valtteri Bottas,77,Finnish,Mercedes,1,63,+5.783,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Turkish Grand Prix,2020-11-15T10:10:00.000-08:00,Istanbul,Sergio Pérez,11,Mexican,Racing Point,3,50,+31.633,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Sakhir Grand Prix,2020-12-06T17:10:00.000-08:00,Sakhir,Esteban Ocon,31,French,Renault,11,75,+10.518,18.0,2,2024-07-12T11:40:19.668-07:00
2020,Abu Dhabi Grand Prix,2020-12-13T13:10:00.000-08:00,Abu Dhabi,Valtteri Bottas,77,Finnish,Mercedes,2,40,+15.976,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Charles Leclerc,16,Monegasque,Ferrari,1,38,+6.131,16.0,3,2024-07-12T11:40:19.668-07:00
2019,Italian Grand Prix,2019-09-08T13:10:00.000-07:00,Monza,Lewis Hamilton,44,British,Mercedes,2,51,+35.199,16.0,3,2024-07-12T11:40:19.668-07:00
2019,Japanese Grand Prix,2019-10-13T05:10:00.000-07:00,Suzuka,Lewis Hamilton,44,British,Mercedes,4,45,+13.858,16.0,3,2024-07-12T11:40:19.668-07:00
2020,Austrian Grand Prix,2020-07-05T13:10:00.000-07:00,Spielburg,Lando Norris,4,British,McLaren,3,71,+5.491,16.0,3,2024-07-12T11:40:19.668-07:00
2020,Spanish Grand Prix,2020-08-16T13:10:00.000-07:00,Montmeló,Valtteri Bottas,77,Finnish,Mercedes,2,66,+44.752,16.0,3,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Max Verstappen,33,Dutch,Red Bull,4,57,+22.520,15.0,3,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Sebastian Vettel,5,German,Ferrari,3,37,+13.774,15.0,3,2024-07-12T11:40:19.668-07:00
